season,origin,cancelled,is_core,colorway_sku,colorway_name,style_sku,style_name,source,vendor,brand,variant_count,missing_count,missing_fields,needs_variants,needs_price,needs_hs_code,needs_customs_desc,needs_weight,needs_fibre,needs_country_of_origin,needs_manufacturer,src_price,src_hs_code,src_customs_desc,src_weight,src_fibre,src_origin,src_manufacturer,fully_recoverable,unrecoverable_fields,cin7_attribute3
CONTINUITY,NEW,,,IMP-LIV-BTH-LW-JPN-DV,"Beth Low Japan Dive, 2632*",IMP-LIV-BTH-LW-JPN-DV,"Beth Low Japan Dive, 2632*",CIN7_IMPORT,Livid Femme,Livid,7,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's jeans - 100% cotton
CONTINUITY,NEW,,,EXT-VIN-SUN-A,Sunglasses,EXT-VIN-SUN-A,Sunglasses,CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used clothing - Vintage
CONTINUITY,NEW,,,EXT-DM-BRD-SMG,Bardolino Smog,EXT-DM-BRD-SMG,Bardolino Smog,CIN7_IMPORT,Diemme,Diemme,4,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,LIV-KN-MLK-BNDD,Tim Milk Bonded,LIV-KN-MLK-BNDD,Tim Milk Bonded,CIN7_IMPORT,Livid Unisex,Livid,3,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,LIV-WST-PND,West Pond,LIV-WST-PND,West Pond,CIN7_IMPORT,Livid Men,Livid,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,EXT-CMP-PLT-TNC,Pelotas Soller Tonic,EXT-CMP-PLT-TNC,Pelotas Soller Tonic,CIN7_IMPORT,Camper,Camper,3,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,LIV-TCN-CHRCL,Toucan Charcoal,LIV-TCN-CHRCL,Toucan Charcoal,CIN7_IMPORT,Livid Femme,Livid,5,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's T-Shirt - 100% Cotton
CONTINUITY,NEW,,,LIV-Nelson-CE,Nelson Celeste,LIV-Nelson-CE,Nelson Celeste,CIN7_IMPORT,Livid Men,Livid,2,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's T-Shirt - 100% Cotton
CONTINUITY,NEW,,,EXT-ICHI-RSG-OS,Rose & Green Incense,EXT-ICHI-RSG-OS,Rose & Green Incense,CIN7_IMPORT,Ichiko Ichie,Ichiko Ichie,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,1,LIV-HNRY-NVY-PNSTRP,Initial Navy Pinstripe,LIV-HNRY-NVY-PNSTRP,Initial Navy Pinstripe,CIN7_IMPORT,Livid Men,Livid,6,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,1,LIV-DUNN-NVY,Dunn Navy,LIV-DUNN-NVY,Dunn Navy,CIN7_IMPORT,Livid Unisex,Livid,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Cap 100% cotton
CONTINUITY,NEW,,1,LIV-BZZ-BLCK,Buzz Black,LIV-BZZ-BLCK,Buzz Black,CIN7_IMPORT,Livid Men,Livid,3,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Sweater - Knitted 100% wiil
CONTINUITY,NEW,,1,LIV-HNRY-FD-OK-TWLL,Henrey Fade Oak Twill,LIV-HNRY-FD-OK-TWLL,Henrey Fade Oak Twill,CIN7_IMPORT,Livid Men,Livid,6,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,1,LIV-INTL-CLST-OX,Initial Celeste Ox,LIV-INTL-CLST-OX,Initial Celeste Ox,CIN7_IMPORT,Livid Men,Livid,6,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,LIV-MIL-CHAR-FAD,Mila Charcoal Fadeout,LIV-MIL-CHAR-FAD,Mila Charcoal Fadeout,CIN7_IMPORT,Livid Femme,Livid,5,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Sweater - 100% cotton
CONTINUITY,NEW,,,VN-ONLN-11326,Tommy Hilfilger Shirt (XL),VN-ONLN-11326,Tommy Hilfilger Shirt (XL),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,VN-ONLN-11823,Lee Denim Shirt (L),VN-ONLN-11823,Lee Denim Shirt (L),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,VIN-DNM,Denim Skirt,VIN-DNM,Denim Skirt,CIN7_IMPORT,Vintage,Vintage,1,5,HS code; customs desc; fibre; origin; manufacturer,,,1,1,,1,1,1,,CIN7,CIN7,,CIN7,NONE,NONE,NO,origin; manufacturer,Men's jeans - 100% cotton
CONTINUITY,NEW,,,EXT-BP-S101,101 Parisian Bouquet - 30ml,EXT-BP-S101,101 Parisian Bouquet - 30ml,CIN7_IMPORT,Bon Parfumeur,Bon Parfumeur,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,,EXT-PB-VLY-LS,Veley Lisse Noir,EXT-PB-VLY-LS,Veley Lisse Noir,CIN7_IMPORT,Paraboot,Paraboot,7,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,CIN7,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,LIV-KLM-MLKCK,Kalum Milk Check,LIV-KLM-MLKCK,Kalum Milk Check,CIN7_IMPORT,Livid Men,Livid,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,VN-ONLN-12310,Nike Crewneck Sweatshirt (XL),VN-ONLN-12310,Nike Crewneck Sweatshirt (XL),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,VN-ONLN-13580,Carhartt Flannel Shirt (XL),VN-ONLN-13580,Carhartt Flannel Shirt (XL),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,EXT-CMP-KRA-BLK,Kora Black,EXT-CMP-KRA-BLK,Kora Black,CIN7_IMPORT,Camper,Camper,2,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,EXT-BP-S902,902 Hazy Spice - 30ml,EXT-BP-S902,902 Hazy Spice - 30ml,CIN7_IMPORT,Bon Parfumeur,Bon Parfumeur,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,1,LIV-INTL-GRN-PNSTRP,Initial Green Candystripe,LIV-INTL-GRN-PNSTRP,Initial Green Candystripe,CIN7_IMPORT,Livid Men,Livid,6,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,CHIMI-POLY-BRG,Steel Polygon Burgundy,CHIMI-POLY-BRG,Steel Polygon Burgundy,CIN7_IMPORT,Chimi,Chimi,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Sunglasses
CONTINUITY,NEW,,,CHIMI-ARI-TTRT,Aria Terra Tortoise,CHIMI-ARI-TTRT,Aria Terra Tortoise,CIN7_IMPORT,Chimi,Chimi,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Sunglasses
CONTINUITY,NEW,,,EXT-PR-MCHL-NR,Michael Femme Lisse Noir,EXT-PR-MCHL-NR,Michael Femme Lisse Noir,CIN7_IMPORT,Paraboot,Paraboot,7,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,EXT-ICHI-RSM,Rosemary Incense,EXT-ICHI-RSM,Rosemary Incense,CIN7_IMPORT,Ichiko Ichie,Ichiko Ichie,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,,EXT-PST-LMSTK,Lemon Stick,EXT-PST-LMSTK,Lemon Stick,CIN7_IMPORT,På Stell,På Stell,1,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,CIN7,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,,EXT-RT-MRRS-LBR,Merino Lambs Wool Room Socks L.Brown,EXT-RT-MRRS-LBR,Merino Lambs Wool Room Socks L.Brown,CIN7_IMPORT,Rototo,Rototo,1,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,CIN7,CIN7,,CIN7,,NONE,NO,manufacturer,Socks - 100% wool
CONTINUITY,NEW,,,LIV-NDL-MUD-STR,Needle Mud Stripe,LIV-NDL-MUD-STR,Needle Mud Stripe,CIN7_IMPORT,Livid Men,Livid,2,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's T-Shirt - 100% Cotton
CONTINUITY,NEW,,,EXT-ICHI-MGN-OS,Magnolia Incense,EXT-ICHI-MGN-OS,Magnolia Incense,CIN7_IMPORT,Ichiko Ichie,Ichiko Ichie,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,,VN-ONLN-12331,GAP Cable Knit Sweater (XL),VN-ONLN-12331,GAP Cable Knit Sweater (XL),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,VN-ONLN-13249,Silk Resort Shirt (2XL),VN-ONLN-13249,Silk Resort Shirt (2XL),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,VN-ONLN-12506,90's Burberry Womens Wool Blazer (S),VN-ONLN-12506,90's Burberry Womens Wool Blazer (S),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,CHIMI-BRN-03,03 Brown,CHIMI-BRN-03,03 Brown,CIN7_IMPORT,Chimi,Chimi,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Sunglasses
CONTINUITY,NEW,,,LIV-KRN-BLCK,Kerin Black,LIV-KRN-BLCK,Kerin Black,CIN7_IMPORT,Livid Femme,Livid,2,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Sweater - Knitted 100% wiil
CONTINUITY,NEW,,,EXT-ABL-LNDR2,Laundry Day - 50ML,EXT-ABL-LNDR2,Laundry Day - 50ML,CIN7_IMPORT,Abel,Abel,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,,LIV-NIK-PEAT-LIN,Nikka Peat Linen,LIV-NIK-PEAT-LIN,Nikka Peat Linen,CIN7_IMPORT,Livid Femme,Livid,4,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,EXT-ABL-DBLS6,Double Scoop - 6ml,EXT-ABL-DBLS6,Double Scoop - 6ml,CIN7_IMPORT,Abel,Abel,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Perfume - Non alcoholic
CONTINUITY,NEW,,,EXT-KNT-WB-L500-AMB,Water Bottle 500Ml Amber,EXT-KNT-WB-L500-AMB,Water Bottle 500Ml Amber,CIN7_IMPORT,Kinto,Kinto,1,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,NONE,NONE,,NONE,,NONE,NO,HS code; customs desc; fibre; manufacturer,
CONTINUITY,NEW,,,EXT-PB-ORSAYTI,ORSAYTI/GRIFF NOIRE-LIS NOIR INK,EXT-PB-ORSAYTI,ORSAYTI/GRIFF NOIRE-LIS NOIR INK,CIN7_IMPORT,Paraboot,Paraboot,4,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,LIV-BON-CHA-FAD,Bondi Charcoal Fadeout,LIV-BON-CHA-FAD,Bondi Charcoal Fadeout,CIN7_IMPORT,Livid Femme,Livid,3,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Sweater - 100% cotton
CONTINUITY,NEW,,,EXT-PF-CMPF-7.2G,Campfire 7.2oz Candle - Green Vault,EXT-PF-CMPF-7.2G,Campfire 7.2oz Candle - Green Vault,CIN7_IMPORT,P.F. Candle,P.F. Candle,1,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,CIN7,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Scent candles
CONTINUITY,NEW,,,LIV-BCK-WHOX,Buck White Oxford,LIV-BCK-WHOX,Buck White Oxford,CIN7_IMPORT,Livid Femme,Livid,2,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,EXT-VIN-WXJKT,Unbranded Wax Jacket,EXT-VIN-WXJKT,Unbranded Wax Jacket,CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used clothing - Vintage
CONTINUITY,NEW,,,VN-ONLN-10535,Levi's Denim Skirt (W30),VN-ONLN-10535,Levi's Denim Skirt (W30),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,LIV-ARMND-BLCK,Armand Black,LIV-ARMND-BLCK,Armand Black,CIN7_IMPORT,Livid Femme,Livid,3,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Women's Dress - 100% cotton
CONTINUITY,NEW,,,VN-ONLN-13398,St. Johns College Rugby Shirt (S),VN-ONLN-13398,St. Johns College Rugby Shirt (S),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,CHIMI,Steel Aviator Green,CHIMI,Steel Aviator Green,CIN7_IMPORT,Chimi,Chimi,2,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,CIN7,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Sunglasses
CONTINUITY,NEW,,,VN-ONLN-13254,Jamaica Jaxx Silk Shirt (L),VN-ONLN-13254,Jamaica Jaxx Silk Shirt (L),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,LIV-CRMY-MYSTRS-FLFF,Carmy Mysterioso Fluff,LIV-CRMY-MYSTRS-FLFF,Carmy Mysterioso Fluff,CIN7_IMPORT,Livid Unisex,Livid,3,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Sweater - Knitted 100% wiil
CONTINUITY,NEW,,1,LIV-INTL-GRY-OX,Initial Grey Ox,LIV-INTL-GRY-OX,Initial Grey Ox,CIN7_IMPORT,Livid Men,Livid,6,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,VN-ONLN-13224,Jimmie Johnson #48 Nascar Tee (L),VN-ONLN-13224,Jimmie Johnson #48 Nascar Tee (L),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,VN-ONLN-9400,Y2K Jeff Gordon Looney Toons Nascar Tee (M),VN-ONLN-9400,Y2K Jeff Gordon Looney Toons Nascar Tee (M),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,VN-ONLN-12930,Ermenegildo Zegna Silk Tie (OneSize),VN-ONLN-12930,Ermenegildo Zegna Silk Tie (OneSize),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,EXT-VN-PRBL-SHSLV,Print Blouse Short Sleeve,EXT-VN-PRBL-SHSLV,Print Blouse Short Sleeve,CIN7_IMPORT,Vintage,Vintage,1,5,HS code; customs desc; fibre; origin; manufacturer,,,1,1,,1,1,1,,CIN7,CIN7,,NONE,CIN7,NONE,NO,fibre; manufacturer,Used clothing - Vintage
CONTINUITY,NEW,,,EXT-VN-TCHJK,Tech Jacket,EXT-VN-TCHJK,Tech Jacket,CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used clothing - Vintage
CONTINUITY,NEW,,,LIV-SIR-JAP-KBLU,Siren Japan Kobe Blue,LIV-SIR-JAP-KBLU,Siren Japan Kobe Blue,CIN7_IMPORT,Livid Femme,Livid,20,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's jeans - 100% cotton
CONTINUITY,NEW,,,LIV-KERI-LIN-JAVA,Keri Linen Java,LIV-KERI-LIN-JAVA,Keri Linen Java,CIN7_IMPORT,Livid Femme,Livid,11,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's trouser - 100% cotton
CONTINUITY,NEW,,,LIV-HYD-T-WHT,Hyde Tee White,LIV-HYD-T-WHT,Hyde Tee White,CIN7_IMPORT,Livid Femme,Livid,5,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's T-Shirt - 100% Cotton
CONTINUITY,NEW,,,EXT-RW-3343,3343 Blacksmith Copper Rough,EXT-RW-3343,3343 Blacksmith Copper Rough,CIN7_IMPORT,Red Wing,Red Wing,1,4,HS code; customs desc; fibre; manufacturer,,,1,1,,1,,1,,CIN7,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Men Shoes
CONTINUITY,NEW,,,LIV-FOR-BLK,Forte Black,LIV-FOR-BLK,Forte Black,CIN7_IMPORT,Livid Femme,Livid,5,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Sweater - 100% cotton
CONTINUITY,NEW,,1,LIV-TT-BLCK,Tate Black,LIV-TT-BLCK,Tate Black,CIN7_IMPORT,Livid Men,Livid,4,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's Sweater - Knitted 100% wiil
CONTINUITY,NEW,,,LIV-RUS-ALO-SLK,Russ Aloe Noil Silk,LIV-RUS-ALO-SLK,Russ Aloe Noil Silk,CIN7_IMPORT,Livid Men,Livid,4,4,customs desc; fibre; origin; manufacturer,,,,1,,1,1,1,,,CIN7,,CIN7,CIN7,NONE,NO,manufacturer,Men's Shirt - 100% cotton
CONTINUITY,NEW,,,VN-ONLN-9295,90's Rugrats tee (M),VN-ONLN-9295,90's Rugrats tee (M),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,EXT-VN-DNGRSHRT,Dungaree short,EXT-VN-DNGRSHRT,Dungaree short,CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used clothing - Vintage
CONTINUITY,NEW,,,VN-ONLN-13600,1990 Rickie Lee Jones Tour Tee (4XL),VN-ONLN-13600,1990 Rickie Lee Jones Tour Tee (4XL),CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used Vintage garment
CONTINUITY,NEW,,,CHIMI-TTPL-GR,Titan Polygon Dark Grey,CHIMI-TTPL-GR,Titan Polygon Dark Grey,CIN7_IMPORT,Chimi,Chimi,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Sunglasses
CONTINUITY,NEW,,1,LIV-K-JPN-BLCK,Kai Japan Black,LIV-K-JPN-BLCK,Kai Japan Black,CIN7_IMPORT,Livid Men,Livid,15,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,CIN7,,NONE,NO,manufacturer,Men's jeans - 100% cotton
CONTINUITY,NEW,,,EXT-VN-BRDUN,Branded Dungarees,EXT-VN-BRDUN,Branded Dungarees,CIN7_IMPORT,Vintage,Vintage,1,3,customs desc; fibre; manufacturer,,,,1,,1,,1,,,CIN7,,NONE,,NONE,NO,fibre; manufacturer,Used clothing - Vintage
